product_category,total_item_sold,total_sales_revenue
"health_beauty",9465,1233131.72
"watches_gifts",5859,1166176.98
"bed_bath_table",10953,1023434.76
"sports_leisure",8431,954852.55
"computers_accessories",7644,888724.61
"furniture_decor",8160,711927.69
"housewares",6795,615628.69
"cool_stuff",3718,610204.10
"auto",4140,578966.65
"toys",4030,471286.48
